title,address,access,age,floor,fee,management_fee,deposit,gratuity,madori,menseki
市ヶ谷仲之町ヒルズ　クレスト　Ｎｏｒｔｈ棟,東京都新宿区市谷仲之町,"
都営新宿線/曙橋駅 歩4分
都営大江戸線/牛込柳町駅 歩10分
都営大江戸線/若松河田駅 歩11分
","
築1年
6階建
","
											3階",12.4万円,7000円,-,-,1K,29.73m2
市ヶ谷仲之町ヒルズ　クレスト　Ｎｏｒｔｈ棟,東京都新宿区市谷仲之町,"
都営新宿線/曙橋駅 歩4分
都営大江戸線/牛込柳町駅 歩10分
都営大江戸線/若松河田駅 歩11分
","
築1年
6階建
","
											4階",12.5万円,7000円,-,12.5万円,1K,29.73m2
市ヶ谷仲之町ヒルズ　クレスト　Ｎｏｒｔｈ棟,東京都新宿区市谷仲之町,"
都営新宿線/曙橋駅 歩4分
都営大江戸線/牛込柳町駅 歩10分
都営大江戸線/若松河田駅 歩11分
","
築1年
6階建
","
											5階",16万円,9000円,-,-,1LDK,34.3m2
市ヶ谷仲之町ヒルズ　クレスト　Ｎｏｒｔｈ棟,東京都新宿区市谷仲之町,"
都営新宿線/曙橋駅 歩4分
都営大江戸線/牛込柳町駅 歩10分
都営大江戸線/若松河田駅 歩11分
","
築1年
6階建
","
											5階",16万円,9000円,-,16万円,1DK,34.3m2
市ヶ谷仲之町ヒルズ　クレスト　Ｎｏｒｔｈ棟,東京都新宿区市谷仲之町,"
都営新宿線/曙橋駅 歩4分
都営大江戸線/牛込柳町駅 歩10分
都営大江戸線/若松河田駅 歩11分
","
築1年
6階建
","
											5階",16万円,9000円,-,-,1DK,34.3m2
都営大江戸線 落合南長崎駅 7階建 築4年,東京都新宿区西落合１,"
都営大江戸線/落合南長崎駅 歩6分
西武池袋線/東長崎駅 歩14分
西武新宿線/新井薬師前駅 歩15分
","
築4年
7階建
","
											2階",9.4万円,10500円,-,-,1K,25.82m2
都営大江戸線 落合南長崎駅 7階建 築4年,東京都新宿区西落合１,"
都営大江戸線/落合南長崎駅 歩6分
西武池袋線/東長崎駅 歩14分
西武新宿線/新井薬師前駅 歩15分
","
築4年
7階建
","
											2階",9.5万円,10500円,-,-,1K,27.32m2
都営大江戸線 落合南長崎駅 7階建 築4年,東京都新宿区西落合１,"
都営大江戸線/落合南長崎駅 歩6分
西武池袋線/東長崎駅 歩14分
西武新宿線/新井薬師前駅 歩15分
","
築4年
7階建
","
											3階",9.5万円,10500円,-,-,1K,25.56m2
都営大江戸線 落合南長崎駅 7階建 築4年,東京都新宿区西落合１,"
都営大江戸線/落合南長崎駅 歩6分
西武池袋線/東長崎駅 歩14分
西武新宿線/新井薬師前駅 歩15分
","
築4年
7階建
","
											6階",9.9万円,10000円,-,9.9万円,1K,25.52m2
都営大江戸線 落合南長崎駅 7階建 築4年,東京都新宿区西落合１,"
都営大江戸線/落合南長崎駅 歩6分
西武池袋線/東長崎駅 歩14分
西武新宿線/新井薬師前駅 歩15分
","
築4年
7階建
","
											6階",10万円,10000円,-,10万円,1K,25.52m2
都営大江戸線 落合南長崎駅 7階建 築4年,東京都新宿区西落合１,"
都営大江戸線/落合南長崎駅 歩6分
西武池袋線/東長崎駅 歩14分
西武新宿線/新井薬師前駅 歩15分
","
築4年
7階建
","
											6階",10.2万円,10500円,-,-,1K,25.82m2
都営大江戸線 西新宿五丁目駅 3階建 築10年,東京都新宿区西新宿４,"
都営大江戸線/西新宿五丁目駅 歩4分
東京メトロ丸ノ内線/中野坂上駅 歩15分
ＪＲ山手線/新宿駅 歩22分
","
築10年
3階建
","
											2階",8.8万円,4000円,4.4万円,8.8万円,1K,23.91m2
メイクスデザイン神楽坂,東京都新宿区山吹町,"
東京メトロ東西線/神楽坂駅 歩6分
東京メトロ有楽町線/江戸川橋駅 歩5分
都営大江戸線/牛込神楽坂駅 歩14分
","
築3年
12階建
","
											10階",9.75万円,12000円,-,-,1K,26.31m2
メイクスデザイン神楽坂,東京都新宿区山吹町,"
東京メトロ東西線/神楽坂駅 歩6分
東京メトロ有楽町線/江戸川橋駅 歩5分
都営大江戸線/牛込神楽坂駅 歩14分
","
築3年
12階建
","
											11階",11.2万円,12000円,11.2万円,11.2万円,1K,25.55m2
ディアレイシャス落合南長崎,東京都新宿区西落合１,"
都営大江戸線/落合南長崎駅 歩6分
西武池袋線/東長崎駅 歩14分
西武新宿線/新井薬師前駅 歩15分
","
築4年
7階建
","
											2階",9.4万円,10500円,-,-,1K,25.82m2
ディアレイシャス落合南長崎,東京都新宿区西落合１,"
都営大江戸線/落合南長崎駅 歩6分
西武池袋線/東長崎駅 歩14分
西武新宿線/新井薬師前駅 歩15分
","
築4年
7階建
","
											2階",9.5万円,10500円,-,-,1K,27.32m2
ディアレイシャス落合南長崎,東京都新宿区西落合１,"
都営大江戸線/落合南長崎駅 歩6分
西武池袋線/東長崎駅 歩14分
西武新宿線/新井薬師前駅 歩15分
","
築4年
7階建
","
											3階",9.5万円,10500円,-,-,1K,25.56m2
ディアレイシャス落合南長崎,東京都新宿区西落合１,"
都営大江戸線/落合南長崎駅 歩6分
西武池袋線/東長崎駅 歩14分
西武新宿線/新井薬師前駅 歩15分
","
築4年
7階建
","
											2階",9.9万円,10500円,-,9.9万円,1K,27.32m2
ディアレイシャス落合南長崎,東京都新宿区西落合１,"
都営大江戸線/落合南長崎駅 歩6分
西武池袋線/東長崎駅 歩14分
西武新宿線/新井薬師前駅 歩15分
","
築4年
7階建
","
											6階",10万円,10000円,-,10万円,1K,25.52m2
ディアレイシャス落合南長崎,東京都新宿区西落合１,"
都営大江戸線/落合南長崎駅 歩6分
西武池袋線/東長崎駅 歩14分
西武新宿線/新井薬師前駅 歩15分
","
築4年
7階建
","
											6階",10.2万円,10500円,-,-,1K,25.82m2
都営大江戸線 西新宿五丁目駅 14階建 築16年,東京都新宿区西新宿５,"
都営大江戸線/西新宿五丁目駅 歩5分
東京メトロ丸ノ内線/西新宿駅 歩8分
ＪＲ山手線/新宿駅 歩18分
","
築16年
14階建
","
											13階",8万円,5000円,8万円,8万円,1K,20.33m2
Ｐｏｎｔ　ｄｕ　Ｇａｒｄ　２０７号室,東京都新宿区北新宿３,"
ＪＲ総武線/大久保駅 歩5分
ＪＲ山手線/新大久保駅 歩10分
ＪＲ山手線/新宿駅 歩20分
","
築2年
3階建
","
											2階",7.45万円,5000円,-,-,ワンルーム,9.3m2
ＪＲ中央線 東中野駅 3階建 築34年,東京都新宿区北新宿３,"
ＪＲ中央線/東中野駅 歩5分
東京メトロ東西線/落合駅 歩15分
東京メトロ丸ノ内線/中野坂上駅 歩17分
","
築34年
3階建
","
											1階",8.9万円,-,8.9万円,-,1LDK,30.56m2
ＪＲ中央線 東中野駅 3階建 築34年,東京都新宿区北新宿３,"
ＪＲ中央線/東中野駅 歩5分
東京メトロ東西線/落合駅 歩15分
東京メトロ丸ノ内線/中野坂上駅 歩17分
","
築34年
3階建
","
											2階",8.9万円,-,8.9万円,-,1LDK,28m2
コーポラス８１,東京都新宿区山吹町,"
東京メトロ東西線/神楽坂駅 歩8分
東京メトロ有楽町線/江戸川橋駅 歩6分
東京メトロ東西線/早稲田駅 歩10分
","
築35年
8階建
","
											7階",9.2万円,5000円,18.4万円,-,1K,32.76m2
コーポラス８１,東京都新宿区山吹町,"
東京メトロ東西線/神楽坂駅 歩8分
東京メトロ有楽町線/江戸川橋駅 歩6分
東京メトロ東西線/早稲田駅 歩10分
","
築35年
8階建
","
											7階",9.8万円,5000円,19.6万円,-,1K,33.19m2
コーポラス８１,東京都新宿区山吹町,"
東京メトロ東西線/神楽坂駅 歩8分
東京メトロ有楽町線/江戸川橋駅 歩6分
東京メトロ東西線/早稲田駅 歩10分
","
築35年
8階建
","
											7階",12.5万円,5000円,25万円,-,2DK,39.37m2
コーポラス８１,東京都新宿区山吹町,"
東京メトロ東西線/神楽坂駅 歩8分
東京メトロ有楽町線/江戸川橋駅 歩6分
東京メトロ東西線/早稲田駅 歩10分
","
築35年
8階建
","
											3階",12.5万円,5000円,25万円,-,2DK,39.53m2
コーポラス８１,東京都新宿区山吹町,"
東京メトロ東西線/神楽坂駅 歩8分
東京メトロ有楽町線/江戸川橋駅 歩6分
東京メトロ東西線/早稲田駅 歩10分
","
築35年
8階建
","
											6階",12.6万円,5000円,25.2万円,-,2DK,39.53m2
コーポラス８１,東京都新宿区山吹町,"
東京メトロ東西線/神楽坂駅 歩8分
東京メトロ有楽町線/江戸川橋駅 歩6分
東京メトロ東西線/早稲田駅 歩10分
","
築35年
8階建
","
											3階",12.6万円,5000円,25.2万円,-,2DK,39.53m2
コーポラス８１,東京都新宿区山吹町,"
東京メトロ東西線/神楽坂駅 歩8分
東京メトロ有楽町線/江戸川橋駅 歩6分
東京メトロ東西線/早稲田駅 歩10分
","
築35年
8階建
","
											7階",12.9万円,5000円,25.8万円,-,2DK,39.53m2
グランバリュー四谷,東京都新宿区若葉１,"
ＪＲ総武線/四ツ谷駅 歩5分
東京メトロ丸ノ内線/四谷三丁目駅 歩8分
都営新宿線/曙橋駅 歩13分
","
築49年
3階建
","
											3階",18.9万円,5000円,18.9万円,-,2DK,46.6m2
グランバリュー四谷,東京都新宿区若葉１,"
ＪＲ総武線/四ツ谷駅 歩5分
東京メトロ丸ノ内線/四谷三丁目駅 歩8分
都営新宿線/曙橋駅 歩13分
","
築49年
3階建
","
											3階",19万円,5000円,19万円,-,2DK,46.6m2
グランバリュー四谷,東京都新宿区若葉１,"
ＪＲ総武線/四ツ谷駅 歩5分
東京メトロ丸ノ内線/四谷三丁目駅 歩8分
都営新宿線/曙橋駅 歩13分
","
築49年
3階建
","
											2階",19.1万円,5000円,19.1万円,-,2LDK,49.26m2
ＦＡＩＲ四谷須賀町,東京都新宿区須賀町,"
東京メトロ丸ノ内線/四谷三丁目駅 歩6分
ＪＲ中央線/信濃町駅 歩9分
ＪＲ総武線/四ツ谷駅 歩12分
","
築5年
3階建
","
											2階",9.3万円,8000円,-,9.3万円,1K,26.77m2
ＦＡＩＲ四谷須賀町,東京都新宿区須賀町,"
東京メトロ丸ノ内線/四谷三丁目駅 歩6分
ＪＲ中央線/信濃町駅 歩9分
ＪＲ総武線/四ツ谷駅 歩12分
","
築5年
3階建
","
											1階",9.8万円,8000円,-,9.8万円,1K,22.35m2
ＦＡＩＲ四谷須賀町,東京都新宿区須賀町,"
東京メトロ丸ノ内線/四谷三丁目駅 歩6分
ＪＲ中央線/信濃町駅 歩9分
ＪＲ総武線/四ツ谷駅 歩12分
","
築5年
3階建
","
											1階",10万円,8000円,-,10万円,1K,22.87m2
ＦＡＩＲ四谷須賀町,東京都新宿区須賀町,"
東京メトロ丸ノ内線/四谷三丁目駅 歩6分
ＪＲ中央線/信濃町駅 歩9分
ＪＲ総武線/四ツ谷駅 歩12分
","
築5年
3階建
","
											2階",10.2万円,8000円,-,10.2万円,1K,26.12m2
東京メトロ丸ノ内線 四谷三丁目駅 5階建 築3年,東京都新宿区大京町,"
東京メトロ丸ノ内線/四谷三丁目駅 歩7分
ＪＲ中央線/信濃町駅 歩8分
都営大江戸線/国立競技場駅 歩8分
","
築3年
5階建
","
											3階",12万円,15000円,-,-,1DK,25.52m2
東京メトロ丸ノ内線 四谷三丁目駅 5階建 築3年,東京都新宿区大京町,"
東京メトロ丸ノ内線/四谷三丁目駅 歩7分
ＪＲ中央線/信濃町駅 歩8分
都営大江戸線/国立競技場駅 歩8分
","
築3年
5階建
","
											2階",12万円,15000円,-,-,1DK,25.52m2
東京メトロ丸ノ内線 四谷三丁目駅 5階建 築3年,東京都新宿区大京町,"
東京メトロ丸ノ内線/四谷三丁目駅 歩7分
ＪＲ中央線/信濃町駅 歩8分
都営大江戸線/国立競技場駅 歩8分
","
築3年
5階建
","
											3階",12.3万円,15000円,-,-,1DK,25.52m2
